,window_start,window_end,rmssd,sdnn,sdsd,nn50,pnn50,mrri,mhr,sessionId,end_timestamp,start_timestamp,hr,hrIbi,rmssd_diff,sdnn_diff,sdsd_diff,nn50_diff,pnn50_diff,mrri_diff,mhr_diff,hr_diff,hrIbi_diff
0,1970-01-01 00:00:24.654,1970-01-01 00:00:25.654,20.0,14.142135623730953,,0.0,0.0,622.0,96.487962273517,1,25654.0,24654.0,101.33333333333333,717.0,,,,,,,,,
1,1970-01-01 00:00:30.654,1970-01-01 00:00:58.654,208.58091954922435,142.27656947727627,221.0796111007174,6.0,60.0,600.2,103.6087499043144,1,58654.0,30654.0,103.5,873.0,188.58091954922435,128.13443385354532,,6.0,60.0,-21.799999999999955,7.120787630797395,2.1666666666666714,156.0
2,1970-01-01 00:01:00.654,1970-01-01 00:01:28.654,185.59217264058995,129.2019795326353,194.6114543952081,4.0,33.33333333333333,570.6666666666666,108.35974634082568,1,88654.0,60654.0,107.25,710.5,-22.988746908634397,-13.074589944640962,-26.468156705509273,-2.0,-26.66666666666667,-29.533333333333417,4.7509964365112864,3.75,-162.5
3,1970-01-01 00:01:40.654,1970-01-01 00:01:41.654,29.0,20.50609665440988,,0.0,0.0,516.5,116.25813131654174,1,101654.0,100654.0,106.0,877.0,-156.59217264058995,-108.69588287822543,,-4.0,-33.33333333333333,-54.16666666666663,7.898384975716056,-1.25,166.5
4,1970-01-01 00:02:52.654,1970-01-01 00:02:53.654,0.0,0.0,,0.0,0.0,880.0,68.18181818181819,1,173654.0,172654.0,106.0,726.3333333333334,-29.0,-20.50609665440988,,0.0,0.0,363.5,-48.07631313472355,0.0,-150.66666666666663
5,1970-01-01 00:03:07.654,1970-01-01 00:03:08.654,5.0,3.5355339059327378,,0.0,0.0,515.5,116.3945900788006,1,188654.0,187654.0,114.25,738.5,5.0,3.5355339059327378,,0.0,0.0,-364.5,48.21277189698242,8.25,12.166666666666629
6,1970-01-01 00:05:19.436,1970-01-01 00:05:29.436,170.31441512684708,158.42838625520545,183.65223346625237,3.0,37.5,758.875,81.85415509939936,1,329436.0,319436.0,112.2,858.4,165.31441512684708,154.89285234927272,,3.0,37.5,243.375,-34.54043497940124,-2.049999999999997,119.89999999999998
7,1970-01-01 00:06:15.436,1970-01-01 00:06:21.436,66.85057965343307,43.66157731156003,87.68124086713189,1.0,33.33333333333333,600.6666666666666,100.24653525078334,1,381436.0,375436.0,112.0,860.0,-103.46383547341401,-114.76680894364543,-95.97099259912048,-2.0,-4.166666666666671,-158.20833333333337,18.392380151383975,-0.20000000000000284,1.6000000000000227
8,1970-01-01 00:06:30.436,1970-01-01 00:06:59.436,151.29858941145068,186.6241931628486,154.00734773995276,8.0,40.0,736.8,86.71895593315011,1,419436.0,390436.0,105.0,517.0,84.4480097580176,142.96261585128858,66.32610687282087,7.0,6.666666666666671,136.13333333333333,-13.527579317633226,-7.0,-343.0
9,1970-01-01 00:07:00.436,1970-01-01 00:07:28.436,169.98897023042406,146.0366392382405,185.62933496621704,2.0,40.0,830.8,74.02684583261893,1,448436.0,420436.0,102.66666666666667,744.6666666666666,18.69038081897338,-40.5875539246081,31.62198722626428,-6.0,0.0,94.0,-12.692110100531181,-2.3333333333333286,227.66666666666663
10,1970-01-01 00:07:43.443,1970-01-01 00:07:45.440,245.366053071732,200.34054340880016,245.366053071732,1.0,33.33333333333333,656.6666666666666,96.45967594211584,1,465440.0,463443.0,107.0,704.0,75.37708284130795,54.30390417055966,59.73671810551497,-1.0,-6.666666666666671,-174.13333333333333,22.432830109496905,4.333333333333329,-40.66666666666663
11,1970-01-01 00:08:06.480,1970-01-01 00:08:25.325,327.0535124410071,260.61721611078065,342.239682094289,1.0,33.33333333333333,819.6666666666666,79.7780626603705,1,505325.0,486480.0,107.0,953.0,81.6874593692751,60.27667270198049,96.87362902255697,0.0,0.0,163.0,-16.681613281745342,0.0,249.0
12,1970-01-01 00:10:31.325,1970-01-01 00:10:49.325,58.312377188152205,50.5,58.312377188152205,1.0,25.0,583.75,103.41918467088163,1,649325.0,631325.0,102.42857142857143,773.0,-268.7411352528549,-210.11721611078065,-283.9273049061368,0.0,-8.333333333333329,-235.91666666666663,23.64112201051114,-4.571428571428569,-180.0
13,1970-01-01 00:12:04.325,1970-01-01 00:12:29.325,168.87628607948483,137.89126150702953,188.80466095941597,2.0,33.33333333333333,727.0,84.79561512502977,1,749325.0,724325.0,107.0,791.0,110.56390889133263,87.39126150702953,130.49228377126377,1.0,8.333333333333329,143.25,-18.623569545851865,4.571428571428569,18.0
14,1970-01-01 00:12:30.325,1970-01-01 00:12:31.325,0.0,0.0,,0.0,0.0,902.0,66.51884700665188,1,751325.0,750325.0,103.5,739.0,-168.87628607948483,-137.89126150702953,,-2.0,-33.33333333333333,175.0,-18.276768118377888,-3.5,-52.0
15,1970-01-01 00:13:17.325,1970-01-01 00:13:20.325,245.366053071732,200.34054340880016,245.366053071732,1.0,33.33333333333333,767.6666666666666,81.36971327155376,1,800325.0,797325.0,102.66666666666667,635.3333333333334,245.366053071732,200.34054340880016,,1.0,33.33333333333333,-134.33333333333337,14.850866264901882,-0.8333333333333286,-103.66666666666663
16,1970-01-01 00:13:45.325,1970-01-01 00:13:50.325,0.0,0.0,0.0,0.0,0.0,783.0,76.62835249042145,1,830325.0,825325.0,106.5,684.0,-245.366053071732,-200.34054340880016,-245.366053071732,-1.0,-33.33333333333333,15.333333333333371,-4.741360781132315,3.8333333333333286,48.66666666666663
17,1970-01-01 00:14:20.325,1970-01-01 00:14:25.325,171.82694782833104,140.29611541307906,171.82694782833104,1.0,33.33333333333333,625.0,98.94237237461694,1,865325.0,860325.0,98.0,900.0,171.82694782833104,140.29611541307906,171.82694782833104,1.0,33.33333333333333,-158.0,22.31401988419549,-8.5,216.0
18,1970-01-01 00:16:18.325,1970-01-01 00:16:28.325,265.1617430927772,182.1765627077204,306.0156586407521,3.0,60.0,885.6,70.98611181766464,1,988325.0,978325.0,97.57142857142857,654.8571428571429,93.33479526444617,41.88044729464133,134.18871081242108,2.0,26.66666666666667,260.6,-27.9562605569523,-0.4285714285714306,-245.1428571428571
19,1970-01-01 00:16:42.325,1970-01-01 00:16:43.325,0.0,0.0,,0.0,0.0,569.0,105.4481546572935,1,1003325.0,1002325.0,102.0,805.0,-265.1617430927772,-182.1765627077204,,-3.0,-60.0,-316.6,34.462042839628864,4.428571428571431,150.1428571428571
